id,level,source_page,section,entry_type,word,article,plural,word_type,verb_present,verb_perfect,translation_en,translation_tr,translation_ru,translation_uk
201,A2,6,monat,main,Juli,der,,Noun,,,July,Temmuz,июль,
202,A2,6,monat,main,August,der,,Noun,,,August,Ağustos,август,
203,A2,6,monat,main,September,der,,Noun,,,September,Eylül,сентябрь,
204,A2,6,monat,main,Oktober,der,,Noun,,,October,Ekim,октябрь,
205,A2,6,monat,main,November,der,,Noun,,,November,Kasım,ноябрь,
206,A2,6,monat,main,Dezember,der,,Noun,,,December,Aralık,декабрь,
207,A2,6,tageszeiten,section_title,Tageszeit,die,-en,Noun,,,time of day,günün zamanı,время суток,
208,A2,6,tageszeiten,main,Tag,der,-e,Noun,,,day,gün,день,
209,A2,6,tageszeiten,main,Morgen,der,-,Noun,,,morning,sabah,утро,
210,A2,6,tageszeiten,main,Vormittag,der,-e,Noun,,,late morning,öğleden önce,позднее утро,
211,A2,6,tageszeiten,main,Mittag,der,-e,Noun,,,noon / midday,öğle,полдень / середина дня,
212,A2,6,tageszeiten,main,Nachmittag,der,-e,Noun,,,afternoon,öğleden sonra,после полудня,
213,A2,6,tageszeiten,main,Abend,der,-e,Noun,,,evening,akşam,вечер,
214,A2,6,tageszeiten,main,Nacht,die,¨-e,Noun,,,night,gece,ночь,
215,A2,6,tageszeiten,main,Mitternacht,die,,Noun,,,midnight,gece yarısı,полночь,
216,A2,6,tageszeiten,main,täglich,,,Adverb,,,daily,günlük,ежедневно,
217,A2,6,tageszeiten,main,tagsüber,,,Adverb,,,during the day,gün boyunca,днём,
218,A2,6,tageszeiten,main,morgens,,,Adverb,,,in the morning,sabahları,по утрам,
219,A2,6,tageszeiten,main,vormittags,,,Adverb,,,in the late morning,öğleden önce,поздним утром,
220,A2,6,tageszeiten,main,mittags,,,Adverb,,,at noon,öğle vakti,в полдень,
221,A2,6,tageszeiten,main,nachmittags,,,Adverb,,,in the afternoon,öğleden sonraları,после обеда / во второй половине дня,
222,A2,6,tageszeiten,main,abends,,,Adverb,,,in the evening,akşamları,по вечерам,
223,A2,6,tageszeiten,main,nachts,,,Adverb,,,at night,geceleri,ночью,
224,A2,7,zahlen,section_title,Zahlen,,,Noun,,,numbers,sayılar,числа,
225,A2,7,zahlen,main,eins,,,Number,,,one,bir,один,
226,A2,7,zahlen,main,zwei,,,Number,,,two,iki,два,
227,A2,7,zahlen,main,drei,,,Number,,,three,üç,три,
228,A2,7,zahlen,main,vier,,,Number,,,four,dört,четыре,
229,A2,7,zahlen,main,fünf,,,Number,,,five,beş,пять,
230,A2,7,zahlen,main,sechs,,,Number,,,six,altı,шесть,
231,A2,7,zahlen,main,sieben,,,Number,,,seven,yedi,семь,
232,A2,7,zahlen,main,acht,,,Number,,,eight,sekiz,восемь,
233,A2,7,zahlen,main,neun,,,Number,,,nine,dokuz,девять,
234,A2,7,zahlen,main,zehn,,,Number,,,ten,on,десять,
235,A2,7,zahlen,main,elf,,,Number,,,eleven,on bir,одиннадцать,
236,A2,7,zahlen,main,zwölf,,,Number,,,twelve,on iki,двенадцать,
237,A2,7,zahlen,main,dreizehn,,,Number,,,thirteen,on üç,тринадцать,
238,A2,7,zahlen,main,vierzehn,,,Number,,,fourteen,on dört,четырнадцать,
239,A2,7,zahlen,main,fünfzehn,,,Number,,,fifteen,on beş,пятнадцать,
240,A2,7,zahlen,main,sechzehn,,,Number,,,sixteen,on altı,шестнадцать,
241,A2,7,zahlen,main,siebzehn,,,Number,,,seventeen,on yedi,семнадцать,
242,A2,7,zahlen,main,achtzehn,,,Number,,,eighteen,on sekiz,восемнадцать,
243,A2,7,zahlen,main,neunzehn,,,Number,,,nineteen,on dokuz,девятнадцать,
