id,level,source_page,section,entry_type,word,article,plural,word_type,verb_present,verb_past,verb_perfect,translation_en,translation_tr,translation_ru,translation_uk,translation_fa,translation_ar,difficulty,category_id,example_de
1,B1,8,abkuerzungen,main,Abo,das,-s = das,Noun,,,,subscription,abone,подписка,підписка,اشتراک,اشتراك,4,13,Ich habe ein Magazin-Abo und bekomme es jeden Monat nach Hause.
2,B1,8,abkuerzungen,main,Akku,der,-s = der,Noun,,,,rechargeable battery,şarj edilebilir pil,аккумулятор,акумулятор,باتری قابل شارژ,بطارية قابلة للشحن,4,13,Der Akku meines Handys ist fast leer – ich muss es laden.
3,B1,8,abkuerzungen,main,Azubi,der,-s,Noun,,,,trainee / apprentice,stajyer / çırak,стажёр / ученик,стажер / учень,کارآموز / شاگرد,متدرب,4,13,"Der Azubi lernt in einem Autohaus, wie man Autos repariert."
4,B1,8,abkuerzungen,main,EG,das,,Noun,,,,ground floor (EG = Erdgeschoss),zemin kat (EG = Erdgeschoss),первый этаж (EG = Erdgeschoss),перший поверх (EG = Erdgeschoss),طبقه همکف (EG = Erdgeschoss),الطابق الأرضي,1,13,Die Arztpraxis befindet sich im EG des Gebäudes.
5,B1,8,anglizismen,main,Baby,das,-s,Noun,,,,baby,bebek,младенец,немовля / дитина,نوزاد,رضيع,2,13,Das Baby schläft gerade ruhig in seinem Kinderbett.
6,B1,8,anglizismen,main,Babysitter,der,,Noun,,,,babysitter (truncated),bebek bakıcısı (kısaltılmış),няня,бебі-ситер / няня,پرستار کودک,جليس أطفال,7,8,"Sie hat einen Babysitter gesucht, der abends auf ihr Kind aufpasst."
7,B1,8,anglizismen,main,Band,die,-sdie,Noun,,,,band (music),grup (müzik),музыкальная группа,гурт / музичний колектив,گروه موسیقی,فرقة موسيقية,4,13,Die Band spielt heute Abend ein Konzert in der Stadthalle.
8,B1,8,anglizismen,main,Camp,das,"-scampen, campt, campte, hat gecampt die",Noun,,,,camp,kamp,лагерь,табір,اردوگاه,مخيم,4,13,Die Kinder hatten viel Spaß im Feriencamp.
9,B1,8,anglizismen,main,übergeordneten,,,Verb,wie z.,,,superordinate / overarching,üst düzey / kapsayıcı,вышестоящий / общий,вищий / загальний,بالادست / فراگیر,شامل,10,13,Das ist das übergeordnete Ziel unseres gemeinsamen Projekts.
10,B1,9,anglizismen,main,Smartphone,das,-sder,Noun,,,,smartphone,akıllı telefon,смартфон,смартфон,گوشی هوشمند,هاتف ذكي,7,13,"Sie benutzt ihr Smartphone täglich, um Nachrichten zu schreiben."
11,B1,9,anglizismen,main,Song,der,-sder,Noun,,,,song,şarkı,песня,пісня,آهنگ,أغنية,4,13,Dieser Song läuft gerade überall im Radio.
