id,level,source_page,section,entry_type,word,article,plural,word_type,translation_en,translation_tr,translation_ru,translation_uk,translation_fa,translation_ar,difficulty,category_id,example_de
1,A1,6,zahlen,section_title,Zahlen,,,Noun,numbers,sayılar,числа,числа,اعداد,أرقام,3,1,Die Zahlen sind wichtig.
2,A1,6,zahlen,main,eins,,,Number,one,bir,один,один,یک,واحد,1,1,Eins ist die erste Zahl.
3,A1,6,zahlen,main,zwei,,,Number,two,iki,два,два,دو,اثنان,1,1,Ich habe zwei Äpfel.
4,A1,6,zahlen,main,drei,,,Number,three,üç,три,три,سه,ثلاثة,1,1,Heute sind drei Gäste da.
5,A1,6,zahlen,main,vier,,,Number,four,dört,четыре,чотири,چهار,أربعة,1,1,Es sind vier Stühle im Zimmer.
6,A1,6,zahlen,main,fünf,,,Number,five,beş,пять,п'ять,پنج,خمسة,1,1,Ich habe fünf Euro.
7,A1,6,zahlen,main,sechs,,,Number,six,altı,шесть,шість,شش,ستة,2,1,Sechs ist meine Lieblingszahl.
8,A1,6,zahlen,main,sieben,,,Number,seven,yedi,семь,сім,هفت,سبعة,3,1,Sieben ist größer als fünf.
9,A1,6,zahlen,main,acht,,,Number,eight,sekiz,восемь,вісім,هشت,ثمانية,1,1,Das Auto kostet acht Euro.
10,A1,6,zahlen,main,neun,,,Number,nine,dokuz,девять,дев'ять,نه,تسعة,1,1,Ich habe neun Fotos.
11,A1,6,zahlen,main,zehn,,,Number,ten,on,десять,десять,ده,عشرة,1,1,Ich bin zehn Jahre alt.
12,A1,6,zahlen,main,elf,,,Number,eleven,on bir,одиннадцать,одинадцять,یازده,أحد عشر,1,1,Mein Bruder ist elf Jahre alt.
13,A1,6,zahlen,main,zwölf,,,Number,twelve,on iki,двенадцать,двана́дцять,دوازده,اثنا عشر,2,1,Zwölf Uhr ist Mittag.
14,A1,6,zahlen,main,dreizehn,,,Number,thirteen,on üç,тринадцать,тринадцять,سیزده,ثلاثة عشر,7,1,Er ist dreizehn Jahre alt.
15,A1,6,zahlen,main,vierzehn,,,Number,fourteen,on dört,четырнадцать,чотирнадцять,چهارده,أربعة عشر,7,1,Sie ist vierzehn Jahre alt.
16,A1,6,zahlen,main,fünfzehn,,,Number,fifteen,on beş,пятнадцать,п'ятнадцять,پانزده,خمسة عشر,7,1,Ich werde fünfzehn.
17,A1,6,zahlen,main,sechzehn,,,Number,sixteen,on altı,шестнадцать,шістнадцять,شانزده,ستة عشر,7,1,Ich bin sechzehn Jahre alt.
18,A1,6,zahlen,main,siebzehn,,,Number,seventeen,on yedi,семнадцать,сімнадцять,هفده,سبعة عشر,7,1,Siebzehn Schüler sind im Raum.
19,A1,6,zahlen,main,achtzehn,,,Number,eighteen,on sekiz,восемнадцать,вісімнадцять,هجده,ثمانية عشر,7,1,Er ist achtzehn Jahre alt.
20,A1,6,zahlen,main,neunzehn,,,Number,nineteen,on dokuz,девятнадцать,дев'ятнадцять,نوزده,تسعة عشر,7,1,Er ist neunzehn.
21,A1,6,zahlen,main,zwanzig,,,Number,twenty,yirmi,двадцать,двадцять,بیست,عشرون,6,1,Zwanzig Gäste sind eingeladen.
22,A1,6,zahlen,main,einundzwanzig,,,Number,twenty-one,yirmi bir,двадцать один,двадцять один,بیست و یک,واحد وعشرون,10,1,Ich bin einundzwanzig Jahre alt.
23,A1,6,zahlen,main,dreißig,,,Number,thirty,otuz,тридцать,тридцять,سی,ثلاثون,6,1,Er ist dreißig Jahre alt.
24,A1,6,zahlen,main,vierzig,,,Number,forty,kırk,сорок,сорок,چهل,أربعون,6,1,Mein Vater ist vierzig.
25,A1,6,zahlen,main,fünfzig,,,Number,fifty,elli,пятьдесят,п'ятдесят,پنجاه,خمسون,6,1,Die Straße ist fünfzig Meter lang.
26,A1,6,zahlen,main,sechzig,,,Number,sixty,altmış,шестьдесят,шістдесят,شصت,ستون,6,1,Meine Oma ist sechzig.
27,A1,6,zahlen,main,siebzig,,,Number,seventy,yetmiş,семьдесят,сімдесят,هفتاد,سبعون,6,1,Sie ist siebzig Jahre alt.
