id,level,source_page,section,entry_type,word,article,plural,word_type,verb_present,verb_past,verb_perfect,translation_en
1,B1,8,abkuerzungen,main,Abo,das,-s = das,Noun,,,,subscription
2,B1,8,abkuerzungen,main,Akku,der,-s = der,Noun,,,,rechargeable battery
3,B1,8,abkuerzungen,main,Azubi,der,-s,Noun,,,,trainee / apprentice
4,B1,8,abkuerzungen,main,EG,das,,Noun,,,,ground floor (EG = Erdgeschoss)
5,B1,8,anglizismen,main,Baby,das,-s,Noun,,,,baby
6,B1,8,anglizismen,main,Babysitt,der,,Noun,,,,babysitter (truncated)
7,B1,8,anglizismen,main,Band,die,-sdie,Noun,,,,band (music)
8,B1,8,anglizismen,main,Camp,das,"-scampen, campt, campte, hat gecampt die",Noun,,,,camp
9,B1,8,anglizismen,main,übergeordneten,,,Verb,wie z.,,,superordinate / overarching (artifact)
10,B1,9,anglizismen,main,Smartphone,das,-sder,Noun,,,,smartphone
11,B1,9,anglizismen,main,Song,der,-sder,Noun,,,,song
12,B1,9,anglizismen,main,Swimmingpool,der,-sdas,Noun,,,,swimming pool
13,B1,9,anweisungssprache,main,Aufgabe,die,-n,Noun,,,,task / exercise
14,B1,9,anweisungssprache,main,ankreuzen,,,Verb,,,,to tick / cross (a box)
15,B1,9,anweisungssprache,main,kr,,,Other,,,,(artifact)
16,B1,9,anweisungssprache,main,Antwortbogen,der,,Noun,,,,answer sheet
17,B1,9,anweisungssprache,main,Anzeige,die,-n,Noun,,,,advertisement / notice
18,B1,9,anweisungssprache,main,richtig,,,Other,,,,correct / right
19,B1,9,anweisungssprache,main,Durchsage,die,-n,Noun,,,,announcement
20,B1,9,anweisungssprache,main,Einleitung,die,-en,Noun,,,,introduction
21,B1,9,anweisungssprache,main,Folie,die,-n,Noun,,,,transparency / slide / foil
22,B1,9,anweisungssprache,main,Hilfsmittel,das,-,Noun,,,,aid / resource / tool
23,B1,9,anweisungssprache,main,Kommentar,der,-e,Noun,,,,comment / commentary
24,B1,9,anweisungssprache,main,lösen,,,Verb,löst,löste,,to solve
25,B1,9,anweisungssprache,main,Moderator,der,-en,Noun,,,,moderator / presenter
26,B1,9,anweisungssprache,main,Modul,das,-e,Noun,,,,module
27,B1,9,anweisungssprache,main,Präsentation,die,-en,Noun,,,,presentation
28,B1,9,anweisungssprache,main,Punkt,der,-e,Noun,,,,point
29,B1,9,anweisungssprache,main,Rückmeldung,die,-en,Noun,,,,feedback
30,B1,9,anweisungssprache,main,Struktur,die,-en,Noun,,,,structure
31,B1,9,anweisungssprache,main,Textaufbau,der,,Noun,,,,text structure
32,B1,9,anweisungssprache,main,übertragen,,,Verb,,,,to transfer / transcribe
33,B1,9,anweisungssprache,main,zuordnen,,,Verb,ordnet zu,ordnete zu,,to assign / match
34,B1,10,bildungseinrichtungen,main,terreich,,,Other,,,,Austria (artifact)
35,B1,11,schulnoten,main,terreich,,,Other,,,,Austria (artifact)
36,B1,11,himmelsrichtungen,main,Norden,der,,Noun,,,,north
37,B1,11,himmelsrichtungen,main,Osten,der,,Noun,,,,east
38,B1,11,himmelsrichtungen,main,tlich,,,Other,,,,(artifact — direction suffix)
39,B1,11,himmelsrichtungen,main,Süden,der,,Noun,,,,south
40,B1,12,himmelsrichtungen,main,Deutsche,der,-ndie,Noun,,,,German (person)
41,B1,12,himmelsrichtungen,main,Eur,der,,Noun,,,,Europe / European (artifact)
42,B1,12,himmelsrichtungen,main,Europäerin,die,-nen,Noun,,,,European (female)
43,B1,12,himmelsrichtungen,main,europäisch,,,Other,,,,European
44,B1,12,himmelsrichtungen,main,Österreicher,der,-die,Noun,,,,Austrian (male)
45,B1,12,laender,main,Türkeider,die,,Noun,,,,Turkey (artifact)
46,B1,12,laender,main,Ukraine,die,,Noun,,,,Ukraine
47,B1,12,laender,main,Ukrainer,der,,Noun,,,,Ukrainian (male)
48,B1,12,politische_begriffe,main,Bund,der,,Noun,,,,federation / federal
49,B1,12,politische_begriffe,main,Bundeskanzler,der,-,Noun,,,,Federal Chancellor (male)
50,B1,12,politische_begriffe,main,Bundeskanzlerin,die,-nen,Noun,,,,Federal Chancellor (female)
51,B1,12,politische_begriffe,main,Bundespräsident,der,-,Noun,,,,Federal President (male)
52,B1,12,politische_begriffe,main,Bundespräsidentin,die,-nen,Noun,,,,Federal President (female)
53,B1,12,politische_begriffe,main,Bürgermeister,der,,Noun,,,,mayor (male)
54,B1,12,politische_begriffe,main,Bürgermeisterin,die,-nendie,Noun,,,,mayor (female)
55,B1,12,politische_begriffe,main,Ministerin,die,-nen,Noun,,,,minister (female)
56,B1,12,politische_begriffe,main,Parlament,das,das,Noun,,,,parliament
57,B1,12,politische_begriffe,main,Partei,die,-endie,Noun,,,,party (political)
58,B1,12,politische_begriffe,main,Staat,der,,Noun,,,,state / country
59,B1,13,waehrungen,main,anken,,,Verb,-,1,,banking (artifact)
60,B1,13,tiere,main,Affe,der,-n,Noun,,,,monkey / ape
61,B1,13,tiere,main,Bär,der,-endie,Noun,,,,bear
62,B1,14,jahreszeiten,main,Frühling/das,der,,Noun,,,,spring (season)
63,B1,14,jahreszeiten,main,Sommer,der,,Noun,,,,summer
64,B1,14,monatsnamen,main,Januar,der,,Noun,,,,January
65,B1,14,monatsnamen,main,Februar,der,,Noun,,,,February
66,B1,14,tageszeiten,main,Tag,der,"-e täglich, tagsüber",Noun,,,,day
67,B1,14,tageszeiten,main,Morgen,der,-;,Noun,,,,morning
68,B1,14,tageszeiten,main,Mitt,der,,Noun,,,,noon (artifact)
69,B1,15,zeitangaben,main,Sekunde,die,-n,Noun,,,,second
70,B1,15,zeitangaben,main,Minute,die,-ndie,Noun,,,,minute
71,B1,15,zeitangaben,main,tündlich,,,Other,,,,hourly (artifact)
72,B1,15,wochentage,main,Wochentag,der,"-e wochentags, werktags",Noun,,,,weekday
73,B1,15,wochentage,main,Wochenende,das,-n am,Noun,,,,weekend
74,B1,15,wochentage,main,Diens,der,,Noun,,,,Tuesday (artifact)
75,B1,15,wochentage,main,Mittwoch,der,,Noun,,,,Wednesday
76,B1,15,uhrzeit,main,zehn,,,Other,,,,ten (artifact)
77,B1,15,uhrzeit,main,halb,,,Other,,,,half
78,B1,16,A,main,Abitur,das,,Noun,,,,Abitur (university entrance exam)
79,B1,16,A,main,abmachen,,,Verb,macht ab,machte ab,hat abgemacht,to agree / arrange
80,B1,16,A,main,abnehmen,,,Verb,nimmt ab,nahm ab,hat abgenommen,to lose weight / take off / decrease
81,B1,16,A,main,abonnieren,,,Verb,abonniert,abonnierte,hat abonniert,to subscribe
82,B1,16,A,main,Abonnement,das,-s/-e,Noun,,,,subscription
83,B1,16,A,main,absagen,,,Verb,sagt ab,sagteab,hat abgesagt,to cancel
84,B1,16,A,main,Abschluss,der,¨-e,Noun,,,,completion / qualification / closing
85,B1,16,A,main,Abschnitt,der,-e,Noun,,,,section / paragraph
86,B1,16,A,main,Absender,der,-,Noun,,,,sender (male)
87,B1,16,A,main,Absenderin,die,-nen,Noun,,,,sender (female)
88,B1,16,A,main,Absicht,die,-en,Noun,,,,intention / purpose
89,B1,16,A,main,absolut,,,Other,,,,absolute / absolutely
90,B1,16,A,main,abstimmen,,,Verb,stimmt ab,stimmte ab,hat abgestimmt,to vote / coordinate
91,B1,16,A,main,Abteilung,die,-en,Noun,,,,department / section
92,B1,16,A,main,Abwart,der,-e,Noun,,,,"caretaker / janitor (male, Swiss)"
93,B1,16,A,main,Abwartin,die,-nen,Noun,,,,"caretaker / janitor (female, Swiss)"
94,B1,16,A,main,abwärts,,,Other,,,,downward
95,B1,16,A,main,abwaschen,,,Verb,wäscht ab,wusch ab,hat abgewaschen,to wash up
96,B1,16,A,main,abwesend,,,Other,,,,absent
97,B1,16,A,main,achten,,,Verb,achtet,achtete,hat geachtet,to pay attention to / respect
98,B1,16,A,main,ab,,,Other,,,,off / away (prefix)
99,B1,16,A,main,abbiegen,,,Verb,biegt ab,bog ab,ist abgebogen,to turn off / turn
100,B1,16,A,main,Abbildung,die,-en,Noun,,,,illustration / figure
