id,level,source_page,section,entry_type,word,article,plural,word_type,verb_present,verb_perfect,translation_en,translation_tr,translation_ru,translation_uk,translation_fa,translation_ar,difficulty,category_id,example_de
1,A2,5,abkuerzungen,section_title,Abkürzung,die,-en,Noun,,,abbreviation,kısaltma,сокращение,скорочнення,اختصار,اختصار,7,13,Die Abkürzung steht für ein langes Wort.
2,A2,5,abkuerzungen,main,ca.,,,Other,,,approximately / ca.,yaklaşık,примерно / ок.,приблизно,حدوداً,تقريباً / ح.,1,13,Das Buch kostet ca. zehn Euro.
3,A2,5,abkuerzungen,main,d.h.,,,Other,,,i.e. / that is,yani,то есть / а именно,тобто,یعنی,أي / أي أنّ,1,13,"Er ist krank, d.h. er bleibt zu Hause."
4,A2,5,abkuerzungen,main,ICE,,,Other,,,ICE (high-speed train),ICE (hızlı tren),ICE (высокоскоростной поезд),ICE,ICE (قطار سریع‌السیر),ICE (قطار فائق السرعة),4,13,Ich fahre mit dem ICE nach Berlin.
5,A2,5,abkuerzungen,main,Lkw,der,-s,Noun,,,truck / lorry,kamyon,грузовик / грузовая машина,вантажівка,کامیون,شاحنة / لوري,4,13,Ein Lkw bringt die Möbel zur Baustelle.
6,A2,5,abkuerzungen,main,PC,der,-s,Noun,,,PC / personal computer,PC / kişisel bilgisayar,ПК / персональный компьютер,ПК / персональний комп'ютер,رایانه شخصی,حاسوب شخصي / كمبيوتر شخصي,1,13,Ich arbeite am PC und schreibe E-Mails.
7,A2,5,abkuerzungen,main,SMS,die,,Noun,,,text message / SMS,SMS / kısa mesaj,текстовое сообщение / SMS,текстове повідомлення / SMS,پیام متنی / اس‌ام‌اس,رسالة نصية / SMS,1,13,Ich schreibe eine SMS an meine Freundin.
8,A2,5,abkuerzungen,main,usw.,,,Other,,,etc. / and so on,vb. / ve benzeri,и т. д. / и так далее,і т. д.,و غیره,إلخ. / وما إلى ذلك,1,13,"Wir brauchen Brot, Milch, usw., auch Butter."
9,A2,5,abkuerzungen,main,WC,das,-s,Noun,,,toilet / WC,tuvalet / WC,туалет / WC,туалет / WC,توالت / دستشویی,مرحاض / دورة مياه,1,13,Das WC ist dort hinter dem Flur.
10,A2,5,abkuerzungen,main,z.B.,,,Other,,,e.g. / for example,örn. / örneğin,напр. / например,наприклад,مثلاً,مثلاً / على سبيل المثال,1,13,"Ich mag Obst, z.B. Äpfel und Bananen."
